Grimsta och Lundvreten;59.9475, 17.61889
Grimstorp;57.55917, 14.6975
Grimsås;57.48333, 13.54944
Gringelstad;55.93917, 14.11389
Gripenberg (tätort);57.99278, 14.85278
Grisslehamn;60.10056, 18.80722
Grums;59.35, 13.1
Grundby sand och Kullersta sand;59.45, 16.533
Grundsund;58.217, 11.417
Grunnebo;58.33722, 12.22361
Gruvstugan;58.667, 16.45
Grycksbo;60.7, 15.467
Grytgöl;58.8025, 15.55444
Grythyttan;59.70417, 14.53
Gryttby;60.1275, 17.58083
Gräddö;59.76472, 19.03222
Grängesberg;60.075, 15.00778
Gränna;58.0225, 14.46778
Gränsbo;55.383, 13.383
Gränsfors;62.04028, 17.08861
Gränsta;59.90417, 18.25444
Gränum;56.22944, 14.605
Gräsmyr;63.76694, 19.62694
Grästorp;58.333, 12.667
Gräsö;60.383, 18.45
Gräv;60.6175, 15.04917
Grådö;60.24667, 16.03194
Gråmanstorp;56.14972, 16.10111
Grödby, Bromölla kommun;56.08333, 14.52028
Grödby, Nynäshamns kommun;59.05167, 17.86917
Grönadal;56.18667, 15.50917
Grönby;55.43889, 13.35556
Grönhögen;56.26833, 16.39944
Grönskan, Vedhamn och Baldersnäs;59.2305083, 18.4763444
Grönskåra;57.07556, 15.73556
Gröstorp;55.55583, 14.31333
Gualöv;56.04861, 14.41889
Gubbo;60.1775, 15.32222
Gullabo;56.46417, 15.80694
Gullarp;55.85, 13.267
Gullaskruv;56.875, 15.67722
Gullbrandstorp;56.70417, 12.73611
Gullbranna;56.5875, 12.945
